Species_name	SAMD9L_gene_status	SAMD9_gene_status
Acinonyx_jubatus	I	L
Ailuropoda_melanoleuca	I	M
Balaenoptera_acutorostrata	PG	I
Balaenoptera_musculus	PG	I
Balaenoptera_ricei	L	I
Bison_bison	PG	I
Bos_indicus	PG	I
Bos_indicus	PG	L
Bos_javanicus	PG	I
Bos_mutus	PG	I
Bos_taurus	PG	L
Bubalus_bubalis	PG	I
Bubalus_kerabau	PG	I
Budorcas_taxicolor	PG	I
Callorhinus_ursinus	I	L
Camelus_bactrianus	PG	I
Camelus_dromedarius	PG	I
Camelus_ferus	PG	UL
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Canis_lupus	I	L
Capra_hircus	PG	I
Capricornis_sumatraensis	PG	I
Ceratotherium_simum	I	I
Cervus_canadensis	PG	I
Cervus_elaphus	PG	I
Condylura_cristata	I	I
Dama_dama	PG	I
Delphinapterus_leucas	M	M
Delphinus_delphis	M	L
Diceros_bicornis	I	I
Enhydra_lutris	I	PG
Equus_asinus	UL	I
Equus_caballus	I	I
Equus_przewalskii	I	I
Equus_quagga	I	I
Erinaceus_europaeus		
Eschrichtius_robustus	PG	I
Eubalaena_glacialis	PG	L
Eumetopias_jubatus	I	L
Felis_catus	I	L
Globicephala_melas	M	L
Halichoerus_grypus	UL	L
Hippopotamus_amphibius	L	I
Hyaena_hyaena	I	PG
Lagenorhynchus_albirostris	M	I
Lagenorhynchus_obliquidens	PG	L
Leopardus_geoffroyi	I	L
Lontra_canadensis	I	M
Lutra_lutra	I	L
Lynx_canadensis	I	L
Lynx_rufus	I	L
Manis_javanica	I	L
Manis_pentadactyla	I	L
Meles_meles	I	L
Mesoplodon_densirostris	PG	I
Mirounga_angustirostris	I	L
Mirounga_leonina	I	L
Monodon_monoceros	PG	I
Moschus_berezovskii		L
Muntiacus_reevesi	PG	I
Mustela_erminea	I	M
Mustela_lutreola	I	L
Mustela_nigripes	I	PG
Mustela_putorius	I	L
Neofelis_nebulosa	I	L
Neogale_vison	I	L
Neomonachus_schauinslandi	I	L
Neophocaena_asiaeorientalis	PG	I
Nyctereutes_procyonoides	I	L
Odobenus_rosmarus	I	M
Orcinus_orca	PG	I
Oryx_dammah	PG	I
Ovis_aries	UL	I
Ovis_canadensis	I	UL
Panthera_leo	I	L
Panthera_onca	I	L
Panthera_pardus	I	L
Panthera_tigris	I	L
Panthera_uncia	I	L
Phacochoerus_africanus	PG	I
Phoca_vitulina	I	L
Phocoena_phocoena	L	I
Phocoena_sinus	L	I
Physeter_macrocephalus	PG	I
Prionailurus_bengalensis	I	L
Prionailurus_viverrinus	I	L
Pseudorca_crassidens	M	I
Puma_concolor	I	L
Puma_yagouaroundi	I	L
Sorex_araneus		
Sorex_fumeus		
Suncus_etruscus		
Suricata_suricatta	I	M
Sus_scrofa	PG	I
Talpa_occidentalis		
Tursiops_truncatus	PG	L
Ursus_americanus	I	L
Ursus_arctos	I	L
Ursus_maritimus	I	L
Vicugna_pacos	PG	I
Vulpes_lagopus	I	L
Vulpes_vulpes	I	L
Zalophus_californianus	I	L
